Year,Location,Bedrooms,Property_type,Rent
2008,"Glasnevin, Dublin 11",All bedrooms,All property types,1283.6
2008,"Meakstown, Dublin 11",All bedrooms,All property types,1220.22
2008,"St Margarets Road, Dublin 11",All bedrooms,All property types,1121.14
2008,Dublin 12,All bedrooms,All property types,1250.85
2008,"Crumlin, Dublin 12",All bedrooms,All property types,1202.99
2008,"Drimnagh, Dublin 12",All bedrooms,All property types,1314.96
2008,"Kimmage, Dublin 12",All bedrooms,All property types,1219.7
2008,"Walkinstown, Dublin 12",All bedrooms,All property types,1255.35
2008,Dublin 13,All bedrooms,All property types,1326.09
2008,"Baldoyle, Dublin 13",All bedrooms,All property types,1353.86
2008,"Balgriffin, Dublin 13",All bedrooms,All property types,1367.45
2008,"Clongriffin, Dublin 13",All bedrooms,All property types,1225.21
2008,"Donaghmede, Dublin 13",All bedrooms,All property types,1248.36
2008,"Sutton, Dublin 13",All bedrooms,All property types,1520.74
2008,Dublin 14,All bedrooms,All property types,1540.92
2008,"Churchtown, Dublin 14",All bedrooms,All property types,1609.69
2008,"Clonskeagh, Dublin 14",All bedrooms,All property types,1668.72
2008,"Dundrum, Dublin 14",All bedrooms,All property types,1508.56
2008,"Goatstown, Dublin 14",All bedrooms,All property types,1723.53
2008,"Rathfarnham, Dublin 14",All bedrooms,All property types,1405.11
2008,Dublin 15,All bedrooms,All property types,1238.67
2008,"Ashtown, Dublin 15",All bedrooms,All property types,1264.46
2008,"Blanchardstown, Dublin 15",All bedrooms,All property types,1173.63
2008,"Carpenterstown, Dublin 15",All bedrooms,All property types,1206.77
2008,"Castleknock, Dublin 15",All bedrooms,All property types,1329.97
2008,"Clonee, Dublin 15",All bedrooms,All property types,1184.51
2008,"Clonsilla, Dublin 15",All bedrooms,All property types,1237.5
2008,"Coolmine, Dublin 15",All bedrooms,All property types,1128.62
2008,"Mulhuddart, Dublin 15",All bedrooms,All property types,1130.96
2008,"Ongar, Dublin 15",All bedrooms,All property types,1150.17
2008,"Porterstown, Dublin 15",All bedrooms,All property types,1164.3
2008,"Royal Canal Park, Dublin 15",All bedrooms,All property types,1229.28
2008,"Tyrrelstown, Dublin 15",All bedrooms,All property types,1280.1
2008,Dublin 16,All bedrooms,All property types,1433.48
2008,"Ballinteer, Dublin 16",All bedrooms,All property types,1449.51
2008,"Dundrum, Dublin 16",All bedrooms,All property types,1511.46
2008,"Knocklyon, Dublin 16",All bedrooms,All property types,1382.82
2008,"Rathfarnham, Dublin 16",All bedrooms,All property types,1408.48
2008,"Sandyford, Dublin 16",All bedrooms,All property types,1444.15
2008,Dublin 17,All bedrooms,All property types,1257.57
2008,"Malahide Road, Dublin 17",All bedrooms,All property types,1274.2
2008,Dublin 18,All bedrooms,All property types,1511.58
2008,"Cabinteely, Dublin 18",All bedrooms,All property types,1417.59
2008,"Carrickmines, Dublin 18",All bedrooms,All property types,1585.89
2008,"Foxrock, Dublin 18",All bedrooms,All property types,2145.79
2008,"Leopardstown, Dublin 18",All bedrooms,All property types,1599.26
2008,"Sandyford, Dublin 18",All bedrooms,All property types,1456.24
2008,"Stepaside, Dublin 18",All bedrooms,All property types,1418.47
2008,Dublin 20,All bedrooms,All property types,1198.25
2008,"Chapelizod, Dublin 20",All bedrooms,All property types,1196.82
2008,"Palmerstown, Dublin 20",All bedrooms,All property types,1194.53
2008,"Clondalkin, Dublin 22",All bedrooms,All property types,1135.76
2008,Dublin 24,All bedrooms,All property types,1200.92
2008,"Ballycullen, Dublin 24",All bedrooms,All property types,1304.91
2008,"Citywest, Dublin 24",All bedrooms,All property types,1211.98
2008,"Firhouse, Dublin 24",All bedrooms,All property types,1267.57
2008,"Tallaght, Dublin 24",All bedrooms,All property types,1176.39
2009,Dublin,All bedrooms,All property types,1157.72
2009,"Balbriggan, Dublin",All bedrooms,All property types,925.26
2009,"Blackrock, Dublin",All bedrooms,All property types,1419.6
2009,"Booterstown, Dublin",All bedrooms,All property types,1549.14
2009,"Dalkey, Dublin",All bedrooms,All property types,1567.31
2009,"Donabate, Dublin",All bedrooms,All property types,994.55
2009,"Dun Laoghaire, Dublin",All bedrooms,All property types,1221.9
2009,"Glenageary, Dublin",All bedrooms,All property types,1551.99
2009,"Howth, Dublin",All bedrooms,All property types,1341.46
2009,"Killiney, Dublin",All bedrooms,All property types,1519.65
2009,"Kinsealy, Dublin",All bedrooms,All property types,1105.49
2009,"Lucan, Dublin",All bedrooms,All property types,1116.54
2009,"Lusk, Dublin",All bedrooms,All property types,1054.74
2009,"Malahide, Dublin",All bedrooms,All property types,1375.5
2009,"Monkstown, Dublin",All bedrooms,All property types,1192.12
2009,"Mount Merrion, Dublin",All bedrooms,All property types,1734.82
2009,"Portmarnock, Dublin",All bedrooms,All property types,1248.31
2009,"Rathcoole, Dublin",All bedrooms,All property types,955.04
2009,"Rush, Dublin",All bedrooms,All property types,1002.14
2009,"Saggart, Dublin",All bedrooms,All property types,1160.58
2009,"Sandycove, Dublin",All bedrooms,All property types,1452.79
2009,"Shankill, Dublin",All bedrooms,All property types,1238.71
2009,"Skerries, Dublin",All bedrooms,All property types,1033.73
2009,"Stillorgan, Dublin",All bedrooms,All property types,1419.23
2009,"Swords, Dublin",All bedrooms,All property types,1090.9
2009,Dublin 1,All bedrooms,All property types,1098.59
2009,"I.F.S.C., Dublin 1",All bedrooms,All property types,1254.41
2009,"Parnell Street, Dublin 1",All bedrooms,All property types,1238.22
